날짜,지점,강수량(mm)
2019-07-08,129,
2019-07-09,129,
2019-07-10,129,12.1
2019-07-11,129,0.0
2019-07-12,129,
2019-07-13,129,52.5
2019-07-14,129,0.0
2019-07-15,129,5.9
2019-07-16,129,2.0
2019-07-17,129,0.0
2019-07-18,129,8.5
2019-07-19,129,0.3
2019-07-20,129,0.8
2019-07-21,129,5.7
2019-07-22,129,
2019-07-23,129,
2019-07-24,129,1.9
2019-07-25,129,
2019-07-26,129,56.3
2019-07-27,129,3.1
2019-07-28,129,20.9
2019-07-29,129,
2019-07-30,129,
2019-07-31,129,4.5
2019-08-01,129,1.1
2019-08-02,129,
2019-08-03,129,5.6
2019-08-04,129,
2019-08-05,129,
2019-08-06,129,
2019-08-07,129,
2019-08-08,129,
2019-08-09,129,
2019-08-10,129,
2019-08-11,129,23.3
2019-08-12,129,66.5
2019-08-13,129,1.5
2019-08-14,129,2.3
2019-08-15,129,2.0
2019-08-16,129,0.0
2019-08-17,129,2.7
2019-08-18,129,
2019-08-19,129,
2019-08-20,129,
2019-08-21,129,
2019-08-22,129,0.0
2019-08-23,129,
2019-08-24,129,0.0
2019-08-25,129,
2019-08-26,129,0.0
2019-08-27,129,11.3
2019-08-28,129,0.2
2019-08-29,129,4.6
2019-08-30,129,
2019-08-31,129,
2019-09-01,129,
2019-09-02,129,
2019-09-03,129,0.0
2019-09-04,129,12.9
2019-09-05,129,71.0
2019-09-06,129,4.4
2019-09-07,129,4.6
2019-09-08,129,0.0
2019-09-09,129,20.7
2019-09-10,129,39.4
2019-09-11,129,0.1
2019-09-12,129,0.0
2019-09-13,129,
2019-09-14,129,0.1
2019-09-15,129,
2019-09-16,129,
2019-09-17,129,
2019-09-18,129,
2019-09-19,129,
2019-09-20,129,
2019-09-21,129,13.8
2019-09-22,129,14.1
2019-09-23,129,
2019-09-24,129,
2019-09-25,129,
2019-09-26,129,
2019-09-27,129,
2019-09-28,129,
2019-09-29,129,
2019-09-30,129,
2019-10-01,129,
2019-10-02,129,41.1
2019-10-03,129,9.6
2019-10-04,129,
2019-10-05,129,0.0
2019-10-06,129,
2019-10-07,129,23.9
2019-10-08,129,0.1
2019-10-09,129,
2019-10-10,129,0.0
2019-10-11,129,
2019-10-12,129,
2019-10-13,129,
2019-10-14,129,
2019-10-15,129,
2019-10-16,129,
2019-10-17,129,
2019-10-18,129,
2019-10-19,129,
2019-10-20,129,
2019-10-21,129,
2019-10-22,129,
2019-10-23,129,
2019-10-24,129,0.0
2019-10-25,129,0.0
2019-10-26,129,
2019-10-27,129,
2019-10-28,129,
2019-10-29,129,6.3
2019-10-30,129,
2019-10-31,129,
2019-11-01,129,
2019-11-02,129,
2019-11-03,129,
2019-11-04,129,
2019-11-05,129,
2019-11-06,129,
2019-11-07,129,
2019-11-08,129,
2019-11-09,129,
2019-11-10,129,15.0
2019-11-11,129,5.4
2019-11-12,129,
2019-11-13,129,13.9
2019-11-14,129,0.0
2019-11-15,129,13.2
2019-11-16,129,
2019-11-17,129,56.4
2019-11-18,129,9.7
2019-11-19,129,3.9
2019-11-20,129,
2019-11-21,129,0.0
2019-11-22,129,
2019-11-23,129,0.0
2019-11-24,129,7.1
2019-11-25,129,
2019-11-26,129,
2019-11-27,129,
2019-11-28,129,
2019-11-29,129,
2019-11-30,129,
2019-12-01,129,3.8
2019-12-02,129,0.1
2019-12-03,129,11.7
2019-12-04,129,0.1
2019-12-05,129,
2019-12-06,129,
2019-12-07,129,0.1
2019-12-08,129,
2019-12-09,129,
2019-12-10,129,0.4
2019-12-11,129,0.0
2019-12-12,129,
2019-12-13,129,1.7
2019-12-14,129,1.1
2019-12-15,129,
2019-12-16,129,
2019-12-17,129,6.7
2019-12-18,129,
2019-12-19,129,
2019-12-20,129,0.8
2019-12-21,129,
2019-12-22,129,0.0
2019-12-23,129,2.2
2019-12-24,129,
2019-12-25,129,
2019-12-26,129,2.5
2019-12-27,129,
2019-12-28,129,
2019-12-29,129,5.7
2019-12-30,129,0.4
2019-12-31,129,0.1
2020-01-01,129,0.2
2020-01-02,129,
2020-01-03,129,
2020-01-04,129,
2020-01-05,129,
2020-01-06,129,
2020-01-07,129,42.2
2020-01-08,129,1.3
2020-01-09,129,
2020-01-10,129,
2020-01-11,129,
2020-01-12,129,
2020-01-13,129,0.0
2020-01-14,129,
2020-01-15,129,
2020-01-16,129,
2020-01-17,129,
